                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1831,                 3.5334,                 1.7488,                0.01833,                0.39286,                0.01288,                0.00492,                 2.0714,                 3.3567,                 1.8076,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.1252,                 3.4816,                 1.6951,                 0.0175,                  0.375,                0.01213,                0.00523,                 2.0842,                 3.3463,                 1.8003,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 1.9936,                  3.508,                 1.5848,                0.03833,                0.82143,                0.04351,                0.01804,                 1.7409,                 3.1636,                 1.4204,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 1.7061,                 3.0631,                 1.4421,                0.04333,                0.92857,                0.08216,                0.03931,                 1.6102,                 3.0784,                 1.2935,             0.00013584,             0.00013584,             0.00013584
                      5,                 1.6195,                 3.0542,                 1.2912,                0.04417,                0.94643,                0.39566,                0.13124,                 1.5198,                 2.9623,                 1.1963,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.3582,                 2.8036,                 1.1739,                0.04667,                      1,                0.62957,                0.25494,                 1.3846,                 2.7853,                  1.043,             0.00020911,             0.00020911,             0.00020911
                      7,                 1.2409,                 2.1848,                 1.0944,                0.04667,                      1,                0.69333,                 0.2845,                 1.3232,                 2.6387,                 1.0128,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.3731,                 1.8498,                 1.1296,                0.96378,                0.47534,                0.77359,                0.39524,                 1.2135,                 2.4603,                0.97919,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.4269,                 1.6988,                  1.237,                      1,                0.25872,                0.78227,                0.41193,                 1.2079,                  2.365,                0.97781,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.5265,                  2.212,                 1.1947,                0.94835,                0.32811,                0.85941,                0.38334,                 1.3255,                 2.2848,                0.98455,             0.00034614,             0.00034614,             0.00034614
                     11,                 1.2749,                 1.3782,                  1.053,                      1,                0.33008,                0.90302,                0.38076,                  1.386,                 2.2455,                 1.0029,             0.00037842,             0.00037842,             0.00037842
                     12,                 1.3871,                 1.7187,                 1.2029,                      1,                0.35246,                0.91612,                0.49071,                 1.2834,                 2.1795,                0.98013,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.1801,                 1.2505,                 1.0566,                0.97622,                0.73315,                 0.9047,                 0.5156,                 1.2373,                 2.1735,                0.97999,              0.0004406,              0.0004406,              0.0004406
                     14,                 1.3096,                 1.1416,                 1.0987,                      1,                0.47848,                 0.8984,                0.50626,                 1.3278,                  2.105,                 1.0208,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.1692,                 1.0411,                 1.0892,                      1,                0.59117,                 0.9233,                0.54815,                 1.2937,                 1.9712,                  1.019,             0.00049961,             0.00049961,             0.00049961
                     16,                 1.1389,                0.98708,                 1.0659,                      1,                0.69302,                0.94419,                 0.5697,                 1.2762,                  1.826,                 1.0198,             0.00052793,             0.00052793,             0.00052793
                     17,                 1.1405,                 1.0651,                 1.0681,                      1,                0.77305,                0.94152,                0.59433,                 1.2532,                 1.7168,                 1.0277,             0.00055546,             0.00055546,             0.00055546
                     18,                   1.28,                 1.1888,                 1.1103,                      1,                0.67651,                 0.9146,                0.55953,                 1.2708,                 1.8665,                 1.0545,             0.00058219,             0.00058219,             0.00058219
                     19,                 1.4297,                 1.2693,                  1.331,                      1,                 0.4422,                0.78252,                 0.4653,                 1.4035,                 2.2216,                 1.1508,             0.00060813,             0.00060813,             0.00060813
                     20,                 1.1974,                0.97681,                 1.0899,                      1,                0.25767,                0.56677,                0.33174,                 1.5625,                 2.5407,                 1.2617,             0.00063328,             0.00063328,             0.00063328
                     21,                 1.2222,                 1.0254,                 1.0645,                      1,                0.18079,                0.45272,                0.26159,                 1.6613,                 2.7397,                 1.3378,             0.00065764,             0.00065764,             0.00065764
                     22,                 1.3048,                0.99447,                 1.1748,                0.92644,                0.22521,                0.39769,                 0.2003,                 1.7528,                 2.9094,                 1.4041,             0.00068121,             0.00068121,             0.00068121
                     23,                 1.1595,                0.89974,                 1.0687,                0.82441,                 0.3355,                0.50602,                  0.233,                 1.6517,                 2.6764,                 1.3049,             0.00070398,             0.00070398,             0.00070398
                     24,                 1.2871,                 1.1045,                 1.1025,                 0.8139,                0.48214,                0.58504,                0.26863,                  1.667,                 2.4512,                 1.2692,             0.00072596,             0.00072596,             0.00072596
                     25,                 1.3175,                 1.1653,                 1.1355,                 0.7579,                0.55912,                0.67793,                0.34383,                 1.5165,                 2.1027,                  1.143,             0.00074715,             0.00074715,             0.00074715
                     26,                 1.3521,                 1.0217,                 1.1107,                0.73455,                0.66071,                0.75656,                0.47193,                 1.3053,                 1.6642,                 1.0512,             0.00076755,             0.00076755,             0.00076755
                     27,                 1.3534,                 1.1883,                 1.2423,                0.77491,                   0.75,                0.83855,                0.51415,                  1.309,                 1.3847,                 1.0184,             0.00078716,             0.00078716,             0.00078716
                     28,                 1.4406,                 1.1131,                 1.2695,                0.77491,                   0.75,                0.83855,                0.51415,                  1.309,                 1.3847,                 1.0184,             0.00080597,             0.00080597,             0.00080597
                     29,                 1.2728,                 1.1441,                 1.0908,                0.85405,                0.73148,                0.87889,                0.56326,                 1.2138,                 1.2855,                0.98863,             0.00082399,             0.00082399,             0.00082399
                     30,                 1.2049,                0.92073,                 1.1013,                0.80535,                0.73893,                0.85408,                0.45979,                  1.458,                 1.4393,                 1.0939,             0.00084122,             0.00084122,             0.00084122
                     31,                 1.0607,                0.89494,                 1.0459,                0.80535,                0.73893,                0.85408,                0.45979,                  1.458,                 1.4393,                 1.0939,             0.00085766,             0.00085766,             0.00085766
                     32,                 1.1422,                0.93279,                 1.0695,                0.83599,                0.91021,                0.94747,                0.56229,                 1.3313,                 1.2107,                 1.0343,             0.00087331,             0.00087331,             0.00087331
